排名,SKU组,包含SKU,类别,型号,颜色,状态,PackSize,2024月销_单只,2025月销_单只,2026_1-5月销_单只,全期月销_单只,2024合计_单只,2025合计_单只,2026_1-5合计_单只,有销售月份_29,排除0销量月份,最高单月销量_单只,同型号最佳颜色,同型号最佳SKU组,同型号最佳全期月销_单只,同型号最佳2024月销_单只,同型号最佳2025月销_单只,同型号最佳2026_1-5月销_单只,对比说明
82,LWP-12O-ARG,"LWP-12O-ARG, LWP-12O-ARG5P",Wall Plate,LWP-12O,Rose Gold,Active,"1, 5",5.8,4.3,4.7,5.0,64.0,52.0,14.0,26,3,17.0,Acrylic Silver,LWP-12O-ASV,35.6,57.3,23.4,12.4,候选 Rose Gold 全期月销 5.0；同型号最佳 Acrylic Silver 月销 35.6
83,LSWP-34M-BSG,LSWP-34M-BSG,Screwless Wall Plate,LSWP-34M,Space Gray,Active,1,5.4,5.7,2.5,5.1,59.0,68.0,10.0,27,2,12.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Space Gray 全期月销 5.1；同型号最佳 White 月销 654.7
84,LMWP-13M-HC,LMWP-13M-HC,Metal Wall Plate,LMWP-13M,Hammered Chrome,Active,1,4.4,5.8,5.2,5.1,48.0,70.0,26.0,28,1,14.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Hammered Chrome 全期月销 5.1；同型号最佳 Brushed Brass 月销 173.2
85,LMWP-34M-AC,LMWP-34M-AC,Metal Wall Plate,LMWP-34M,Antique Copper,Inactive,1,3.5,5.5,7.8,5.1,39.0,66.0,39.0,28,1,16.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Antique Copper 全期月销 5.1；同型号最佳 Brushed Brass 月销 38.3
86,LCS1-1PTR-GD,LCS1-1PTR-GD,Combination Switch,LCS1-1PTR,Gold,Active,1,5.8,4.7,5.0,5.2,70.0,56.0,25.0,29,0,19.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Gold 全期月销 5.2；同型号最佳 White 月销 105.3
87,LS15-4W-SG,LS15-4W-SG,Light Switch,LS15-4W,Space Gray,Active,1,3.5,6.1,6.5,5.2,28.0,61.0,26.0,22,7,15.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Space Gray 全期月销 5.2；同型号最佳 Black 月销 200.6
88,LCS1-1PTR-LA,LCS1-1PTR-LA,Combination Switch,LCS1-1PTR,Light Almond,Active,1,6.8,5.1,2.4,5.3,81.0,61.0,12.0,29,0,12.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Light Almond 全期月销 5.3；同型号最佳 White 月销 105.3
89,LMWP-1131M-HC,LMWP-1131M-HC,Metal Wall Plate,LMWP-1131M,Hammered Chrome,Active,1,3.8,7.7,2.3,5.3,45.0,92.0,7.0,27,2,15.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Hammered Chrome 全期月销 5.3；同型号最佳 Brushed Brass 月销 44.2
90,LR15-TRSS-BK,LR15-TRSS-BK,Surge Protector,LR15-TR,Black,Active,1,6.6,4.7,4.0,5.5,79.0,47.0,16.0,26,3,14.0,Gold,LR15-TR-GDSWP,2135.5,1282.8,2432.6,3469.2,候选 Black 全期月销 5.5；同型号最佳 Gold 月销 2135.5
91,LSWP-34M-AGD,LSWP-34M-AGD,Screwless Wall Plate,LSWP-34M,Gold,Active,1,7.4,4.3,3.0,5.5,89.0,52.0,12.0,28,1,13.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Gold 全期月销 5.5；同型号最佳 White 月销 654.7
92,LMWP-33M-HB,LMWP-33M-HB,Metal Wall Plate,LMWP-33M,Hammered Brass,Active,1,4.9,6.0,5.8,5.5,59.0,72.0,29.0,29,0,12.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Hammered Brass 全期月销 5.5；同型号最佳 Brushed Brass 月销 105.1
93,LWP-32O-ARG,"LWP-32O-ARG, LWP-32O-ARG5P",Wall Plate,LWP-32O,Rose Gold,"Active, Inactive","1, 5",6.6,5.7,2.6,5.5,79.0,68.0,13.0,29,0,21.0,Acrylic Silver,LWP-32O-ASV,75.8,92.9,73.2,40.8,候选 Rose Gold 全期月销 5.5；同型号最佳 Acrylic Silver 月销 75.8
94,LCS1-1PTR-GYSWP,LCS1-1PTR-GYSWP,Combination Switch,LCS1-1PTR,Gray,Active,1,8.9,2.9,1.5,5.6,107.0,35.0,3.0,26,3,27.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Gray 全期月销 5.6；同型号最佳 White 月销 105.3
95,LSWP-34M-I,LSWP-34M-I,Screwless Wall Plate,LSWP-34M,Ivory,Active,1,5.4,4.8,8.2,5.7,65.0,58.0,41.0,29,0,15.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Ivory 全期月销 5.7；同型号最佳 White 月销 654.7
96,LMWP-33M-HAC,LMWP-33M-HAC,Metal Wall Plate,LMWP-33M,Hammered Antique Copper,Inactive,1,5.0,6.0,5.4,5.7,20.0,72.0,27.0,21,8,13.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Hammered Antique Copper 全期月销 5.7；同型号最佳 Brushed Brass 月销 105.1
97,LSMWP-02M-BB,LSMWP-02M-BB,Metal Wall Plate,LSMWP-02M,Brushed Brass,Active,1,5.2,6.7,4.4,5.7,63.0,80.0,22.0,29,0,20.0,Stainless Steel,LSMWP-02M-SS,23.4,27.1,18.9,25.6,候选 Brushed Brass 全期月销 5.7；同型号最佳 Stainless Steel 月销 23.4
98,LWP-1131O-ABK,LWP-1131O-ABK,Wall Plate,LWP-1131O,Acrylic Black,Active,1,5.2,7.8,2.0,5.8,62.0,86.0,8.0,27,2,20.0,Acrylic Silver,LWP-1131O-ASV,19.1,22.8,20.2,7.2,候选 Acrylic Black 全期月销 5.8；同型号最佳 Acrylic Silver 月销 19.1
99,LCS2-1P-SG,LCS2-1P-SG,Combination Switch,LCS2-1P,Space Gray,Active,1,4.5,6.2,8.0,5.8,49.0,74.0,40.0,28,1,15.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Space Gray 全期月销 5.8；同型号最佳 Black 月销 235.8
100,LSWP-34M-BLA,LSWP-34M-BLA,Screwless Wall Plate,LSWP-34M,Light Almond,Active,1,5.2,5.9,7.0,5.8,63.0,71.0,35.0,29,0,16.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Light Almond 全期月销 5.8；同型号最佳 White 月销 654.7
101,LMWP-34M-PC,LMWP-34M-PC,Metal Wall Plate,LMWP-34M,Polished Chrome,Active,1,6.0,6.2,5.0,5.9,66.0,74.0,25.0,28,1,24.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Polished Chrome 全期月销 5.9；同型号最佳 Brushed Brass 月销 38.3
102,LMWP-13M-AC,LMWP-13M-AC,Metal Wall Plate,LMWP-13M,Antique Copper,Inactive,1,4.7,4.7,10.8,6.0,42.0,47.0,54.0,24,5,21.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Antique Copper 全期月销 6.0；同型号最佳 Brushed Brass 月销 173.2
103,LMWP-41M-HAB,LMWP-41M-HAB,Metal Wall Plate,LMWP-41M,Hammered Antique Brass,Active,1,5.8,6.8,4.6,6.0,70.0,81.0,23.0,29,0,15.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Hammered Antique Brass 全期月销 6.0；同型号最佳 Brushed Brass 月销 42.3
104,LWP-11O-ABK,"LWP-11O-ABK, LWP-11O-ABK5P",Wall Plate,LWP-11O,Acrylic Black,"Active, Inactive","1, 5",7.9,4.8,4.0,6.0,95.0,57.0,16.0,28,1,20.0,Acrylic Silver,LWP-11O-ASV,70.6,98.0,56.5,38.8,候选 Acrylic Black 全期月销 6.0；同型号最佳 Acrylic Silver 月销 70.6
105,LWP-11O-ARD,"LWP-11O-ARD, LWP-11O-ARD5P",Wall Plate,LWP-11O,Acrylic Red,Inactive,"1, 5",6.3,7.2,4.4,6.3,76.0,86.0,22.0,29,0,16.0,Acrylic Silver,LWP-11O-ASV,70.6,98.0,56.5,38.8,候选 Acrylic Red 全期月销 6.3；同型号最佳 Acrylic Silver 月销 70.6
106,LHS-F-G-LAWP,LHS-F-G-LAWP2P,Humidity Sensor,LHS-F,Light Almond,Active,2,7.6,5.1,6.8,6.5,76.0,46.0,34.0,24,5,30.0,White,LHS-F-G-WWP,66.3,84.9,61.8,40.0,候选 Light Almond 全期月销 6.5；同型号最佳 White 月销 66.3
107,LMWP-14M-PC,LMWP-14M-PC,Metal Wall Plate,LMWP-14M,Polished Chrome,Active,1,9.3,5.0,4.0,6.5,102.0,60.0,20.0,28,1,13.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Polished Chrome 全期月销 6.5；同型号最佳 Brushed Brass 月销 39.4
108,LWF-DF-WWP,LWF-DF-WWP,WIFI,LWF-DF,White,Active,1,9.8,4.0,5.0,6.6,117.0,48.0,20.0,28,1,28.0,,,,,,,同型号没有其它颜色/版本可对比
109,LMWP-14M-HAC,LMWP-14M-HAC,Metal Wall Plate,LMWP-14M,Hammered Antique Copper,Inactive,1,4.0,8.7,4.0,6.7,16.0,104.0,20.0,21,8,23.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Hammered Antique Copper 全期月销 6.7；同型号最佳 Brushed Brass 月销 39.4
110,LFS-3S-LAWP,LFS-3S-LAWP2P,Fan,LFS-3S,Light Almond,Active,2,6.8,4.4,11.6,6.7,68.0,48.0,58.0,26,3,14.0,Black,LFS-3S-BKWP,48.5,41.0,43.2,79.2,候选 Light Almond 全期月销 6.7；同型号最佳 Black 月销 48.5
111,LCS3-1P-LASWP,LCS3-1P-LASWP,Combination Switch,LCS3-1P,Light Almond,Active,1,5.2,7.7,7.6,6.8,47.0,85.0,38.0,25,4,16.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Light Almond 全期月销 6.8；同型号最佳 Black 月销 63.1
112,LMWP-1121M-HAC,LMWP-1121M-HAC,Metal Wall Plate,LMWP-1121M,Hammered Antique Copper,Inactive,1,4.0,7.9,6.0,6.8,12.0,95.0,30.0,20,9,13.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Hammered Antique Copper 全期月销 6.8；同型号最佳 Brushed Brass 月销 50.1
113,LR15-4TRPL-WWP,LR15-4TRPL-WWP,Receptacle,LR15-4TRPL,White,Active,1,9.9,4.8,2.5,7.0,109.0,53.0,5.0,24,5,20.0,Black,LR15-4TRPL-BKWP,2.4,4.0,2.0,2.0,候选 White 全期月销 7.0；同型号最佳 Black 月销 2.4
114,LCS2-1P-LASWP,LCS2-1P-LASWP,Combination Switch,LCS2-1P,Light Almond,Active,1,6.8,7.9,5.6,7.0,81.0,87.0,28.0,28,1,14.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Light Almond 全期月销 7.0；同型号最佳 Black 月销 235.8
115,LCS3-1P-NKSWP,"LCS3-1P-NKSWP, LCS3-1P-NKSWP2P",Combination Switch,LCS3-1P,Nickel,Active,"1, 2",4.6,8.3,9.6,7.0,55.0,100.0,48.0,29,0,18.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Nickel 全期月销 7.0；同型号最佳 Black 月销 63.1
116,LWP-33M-I,LWP-33M-I,Wall Plate,LWP-33M,Ivory,Active,1,3.9,9.8,7.6,7.1,43.0,117.0,38.0,28,1,19.0,White,LWP-33M-W,147.9,188.1,152.4,40.8,候选 Ivory 全期月销 7.1；同型号最佳 White 月销 147.9
117,LMWP-1121M-HAB,LMWP-1121M-HAB,Metal Wall Plate,LMWP-1121M,Hammered Antique Brass,Active,1,5.0,8.3,9.4,7.1,60.0,100.0,47.0,29,0,14.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Hammered Antique Brass 全期月销 7.1；同型号最佳 Brushed Brass 月销 50.1
118,LWP-01O-AGD,"LWP-01O-AGD, LWP-01O-AGD5P",Wall Plate,LWP-01O,Acrylic Gold,"Active, Inactive","1, 5",8.7,7.3,3.2,7.2,104.0,88.0,16.0,29,0,20.0,Acrylic Silver,LWP-01O-ASV,69.0,84.1,52.5,0.0,候选 Acrylic Gold 全期月销 7.2；同型号最佳 Acrylic Silver 月销 69.0
119,LWP-31O-AGR,"LWP-31O-AGR, LWP-31O-AGR5P",Wall Plate,LWP-31O,Acrylic Green,Inactive,"1, 5",8.4,7.6,3.4,7.2,101.0,84.0,17.0,28,1,23.0,Acrylic Silver,LWP-31O-ASV,411.9,532.8,333.9,309.2,候选 Acrylic Green 全期月销 7.2；同型号最佳 Acrylic Silver 月销 411.9
120,LS15-4W-NK,LS15-4W-NK,Light Switch,LS15-4W,Nickel,Active,1,4.8,8.3,10.0,7.3,43.0,83.0,50.0,24,5,24.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Nickel 全期月销 7.3；同型号最佳 Black 月销 200.6
121,LMWP-02M-BB,LMWP-02M-BB,Metal Wall Plate,LMWP-02M,Brushed Brass,Active,1,6.5,7.1,9.2,7.4,39.0,85.0,46.0,23,6,15.0,Antique Brass,LMWP-02M-AB,11.0,7.2,10.1,16.0,候选 Brushed Brass 全期月销 7.4；同型号最佳 Antique Brass 月销 11.0
122,LWP-21O-AGR,"LWP-21O-AGR, LWP-21O-AGR5P",Wall Plate,LWP-21O,Acrylic Green,Inactive,"1, 5",7.5,6.7,9.8,7.5,82.0,80.0,49.0,28,1,26.0,Acrylic Silver,LWP-21O-ASV,227.5,261.3,214.8,176.8,候选 Acrylic Green 全期月销 7.5；同型号最佳 Acrylic Silver 月销 227.5
123,LMWP-02M-SS,LMWP-02M-SS,Metal Wall Plate,LMWP-02M,Stainless Steel,Active,1,10.5,4.8,10.8,7.6,63.0,57.0,54.0,23,6,22.0,Antique Brass,LMWP-02M-AB,11.0,7.2,10.1,16.0,候选 Stainless Steel 全期月销 7.6；同型号最佳 Antique Brass 月销 11.0
124,LSMWP-32M-BRG,LSMWP-32M-BRG,Metal Wall Plate,LSMWP-32M,Brushed Rose Gold,Active,1,7.1,9.2,5.2,7.6,85.0,110.0,26.0,29,0,16.0,Brushed Brass,LSMWP-32M-BB,61.8,40.9,79.0,66.4,候选 Brushed Rose Gold 全期月销 7.6；同型号最佳 Brushed Brass 月销 61.8
125,LCS1-1PTR-LASWP,LCS1-1PTR-LASWP,Combination Switch,LCS1-1PTR,Light Almond,Active,1,10.8,7.0,2.0,7.7,129.0,84.0,10.0,29,0,20.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Light Almond 全期月销 7.7；同型号最佳 White 月销 105.3
126,LWP-41O-ASV,"LWP-41O-ASV, LWP-41O-ASV5P",Wall Plate,LWP-41O,Acrylic Silver,"Active, Inactive","1, 5",9.8,8.1,2.0,7.7,117.0,97.0,10.0,29,0,26.0,Acrylic Black,LWP-41O-ABK,25.5,20.1,35.2,5.0,候选 Acrylic Silver 全期月销 7.7；同型号最佳 Acrylic Black 月销 25.5
127,LCS2-1P-GY,LCS2-1P-GY,Combination Switch,LCS2-1P,Gray,Active,1,8.2,6.7,9.2,7.8,98.0,67.0,46.0,27,2,15.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Gray 全期月销 7.8；同型号最佳 Black 月销 235.8
128,LMWP-14M-HAB,LMWP-14M-HAB,Metal Wall Plate,LMWP-14M,Hammered Antique Brass,Active,1,6.8,9.0,0.0,7.8,82.0,90.0,0.0,22,7,16.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Hammered Antique Brass 全期月销 7.8；同型号最佳 Brushed Brass 月销 39.4
129,LMWP-01M-HAC,LMWP-01M-HAC,Metal Wall Plate,LMWP-01M,Hammered Antique Copper,Active,1,6.3,8.1,11.2,7.9,76.0,97.0,56.0,29,0,22.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Hammered Antique Copper 全期月销 7.9；同型号最佳 Stainless Steel 月销 269.8
130,LWP-32M-I,LWP-32M-I,Wall Plate,LWP-32M,Ivory,Active,1,4.7,10.2,9.4,7.9,52.0,123.0,47.0,28,1,19.0,White,LWP-32M-W,1109.0,888.2,1187.1,1451.4,候选 Ivory 全期月销 7.9；同型号最佳 White 月销 1109.0
131,LSWP-33M-SV,LSWP-33M-SV,Screwless Wall Plate,LSWP-33M,Silver,Active,1,7.7,7.0,11.0,8.0,92.0,84.0,55.0,29,0,26.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Silver 全期月销 8.0；同型号最佳 White 月销 1279.6
132,LMWP-32M-HC,LMWP-32M-HC,Metal Wall Plate,LMWP-32M,Hammered Chrome,Active,1,5.6,10.3,8.6,8.1,67.0,124.0,43.0,29,0,19.0,Brushed Brass,LMWP-32M-BB,374.5,343.8,358.3,487.2,候选 Hammered Chrome 全期月销 8.1；同型号最佳 Brushed Brass 月销 374.5
133,LSWP-33M-BSG,LSWP-33M-BSG,Screwless Wall Plate,LSWP-33M,Space Gray,Active,1,8.5,8.3,6.6,8.1,102.0,100.0,33.0,29,0,18.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Space Gray 全期月销 8.1；同型号最佳 White 月销 1279.6
134,LR15-4TRPL-W,LR15-4TRPL-W,Receptacle,LR15-4TRPL,White,Active,1,11.6,6.2,3.2,8.1,139.0,68.0,13.0,27,2,28.0,Black,LR15-4TRPL-BKWP,2.4,4.0,2.0,2.0,候选 White 全期月销 8.1；同型号最佳 Black 月销 2.4
135,LSWP-34M-BSV,LSWP-34M-BSV,Screwless Wall Plate,LSWP-34M,Brushed Silver,Active,1,8.1,7.8,9.2,8.2,97.0,94.0,46.0,29,0,16.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Brushed Silver 全期月销 8.2；同型号最佳 White 月销 654.7
136,LMWP-22M-AB,LMWP-22M-AB,Metal Wall Plate,LMWP-22M,Antique Brass,Inactive,1,8.2,9.2,5.6,8.2,90.0,111.0,28.0,28,1,23.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Antique Brass 全期月销 8.2；同型号最佳 Stainless Steel 月销 39.4
137,LCS2-1P-NKSWP,"LCS2-1P-NKSWP, LCS2-1P-NKSWP2P",Combination Switch,LCS2-1P,Nickel,Active,"1, 2",6.8,7.9,12.4,8.2,81.0,87.0,62.0,28,1,34.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Nickel 全期月销 8.2；同型号最佳 Black 月销 235.8
138,LMWP-13M-HB,LMWP-13M-HB,Metal Wall Plate,LMWP-13M,Hammered Brass,Active,1,6.5,9.1,9.2,8.2,52.0,91.0,46.0,23,6,21.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Hammered Brass 全期月销 8.2；同型号最佳 Brushed Brass 月销 173.2
139,LU-6C3-WWP,LU-6C3-WWP,USB OUTLET,LU-6C3,White,Active,1,10.8,6.4,8.0,8.2,97.0,77.0,40.0,26,3,25.0,Black,LU-6C3-BKWP,4.7,5.5,5.0,2.4,候选 White 全期月销 8.2；同型号最佳 Black 月销 4.7
140,LU-PD60C2-BKWP,LU-PD60C2-BKWP,USB OUTLET,LU-PD60AC,Black,Active,1,18.5,6.5,8.4,8.3,37.0,78.0,42.0,19,10,32.0,White,LU-PD60C2-WWP,9.4,13.3,12.7,2.4,候选 Black 全期月销 8.3；同型号最佳 White 月销 9.4
141,LWP-32O-ABK,"LWP-32O-ABK, LWP-32O-ABK5P",Wall Plate,LWP-32O,Acrylic Black,"Active, Inactive","1, 5",9.4,7.9,6.4,8.3,113.0,87.0,32.0,28,1,22.0,Acrylic Silver,LWP-32O-ASV,75.8,92.9,73.2,40.8,候选 Acrylic Black 全期月销 8.3；同型号最佳 Acrylic Silver 月销 75.8
142,LWP-11O-ARG,"LWP-11O-ARG, LWP-11O-ARG5P",Wall Plate,LWP-11O,Rose Gold,"Active, Inactive","1, 5",10.2,8.1,5.6,8.5,122.0,97.0,28.0,29,0,25.0,Acrylic Silver,LWP-11O-ASV,70.6,98.0,56.5,38.8,候选 Rose Gold 全期月销 8.5；同型号最佳 Acrylic Silver 月销 70.6
143,LTS-30M-LAWP,LTS-30M-LAWP2P,Timer,LTS-30M,Light Almond,Active,2,9.5,7.5,9.6,8.7,104.0,82.0,48.0,27,2,20.0,White,LTS-30M-WWP,40.9,55.4,37.2,14.8,候选 Light Almond 全期月销 8.7；同型号最佳 White 月销 40.9
144,LU-6AC2-BKWP,LU-6AC2-BKWP,USB OUTLET,LU-6AC2,Black,Active,1,5.3,10.8,9.8,8.7,48.0,129.0,49.0,26,3,30.0,Gold,LU-6AC2-GDWP,126.6,0.0,151.0,112.0,候选 Black 全期月销 8.7；同型号最佳 Gold 月销 126.6
145,LMWP-1131M-HAB,LMWP-1131M-HAB,Metal Wall Plate,LMWP-1131M,Hammered Antique Brass,Active,1,7.1,10.8,7.8,8.7,85.0,129.0,39.0,29,0,18.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Hammered Antique Brass 全期月销 8.7；同型号最佳 Brushed Brass 月销 44.2
146,LCS2-1P-NK,LCS2-1P-NK,Combination Switch,LCS2-1P,Nickel,Active,1,6.2,10.6,10.6,8.8,74.0,127.0,53.0,29,0,42.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Nickel 全期月销 8.8；同型号最佳 Black 月销 235.8
147,LR20-TR-I,LR20-TR-I,Receptacle,LR20-TR,Ivory,Active,1,9.3,7.1,12.0,8.8,65.0,71.0,48.0,21,8,46.0,Gold,LR20-TR-GD,383.9,277.6,448.1,485.2,候选 Ivory 全期月销 8.8；同型号最佳 Gold 月销 383.9
148,LMWP-1131M-HAC,LMWP-1131M-HAC,Metal Wall Plate,LMWP-1131M,Hammered Antique Copper,Active,1,6.1,12.4,6.8,8.8,73.0,149.0,34.0,29,0,24.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Hammered Antique Copper 全期月销 8.8；同型号最佳 Brushed Brass 月销 44.2
149,LSWP-33M-I,LSWP-33M-I,Screwless Wall Plate,LSWP-33M,Ivory,Active,1,9.8,7.5,10.4,9.0,117.0,82.0,52.0,28,1,19.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Ivory 全期月销 9.0；同型号最佳 White 月销 1279.6
150,LDS-1P-LAWP,LDS-1P-LAWP2P,Dimmer,LDS-1P,Light Almond,Active,2,5.4,12.5,8.4,9.0,54.0,138.0,42.0,26,3,38.0,White,LDS-1P-WWP,45.9,62.7,39.0,22.0,候选 Light Almond 全期月销 9.0；同型号最佳 White 月销 45.9
151,LSMWP-01M-BB,LSMWP-01M-BB,Metal Wall Plate,LSMWP-01M,Brushed Brass,Inactive,1,7.8,9.2,11.4,9.0,93.0,111.0,57.0,29,0,17.0,Stainless Steel,LSMWP-01M-SS,25.1,29.4,21.0,24.4,候选 Brushed Brass 全期月销 9.0；同型号最佳 Stainless Steel 月销 25.1
152,LS15-4W-LA,LS15-4W-LA,Light Switch,LS15-4W,Light Almond,Active,1,2.6,13.1,12.8,9.1,26.0,157.0,64.0,27,2,34.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Light Almond 全期月销 9.1；同型号最佳 Black 月销 200.6
153,LMWP-14M-AB,LMWP-14M-AB,Metal Wall Plate,LMWP-14M,Antique Brass,Active,1,7.2,11.7,8.2,9.2,86.0,140.0,41.0,29,0,28.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Antique Brass 全期月销 9.2；同型号最佳 Brushed Brass 月销 39.4
154,LWP-31O-ARD,"LWP-31O-ARD, LWP-31O-ARD5P",Wall Plate,LWP-31O,Acrylic Red,Inactive,"1, 5",12.0,8.3,4.6,9.2,144.0,100.0,23.0,29,0,23.0,Acrylic Silver,LWP-31O-ASV,411.9,532.8,333.9,309.2,候选 Acrylic Red 全期月销 9.2；同型号最佳 Acrylic Silver 月销 411.9
155,LCS2-1P-LA,LCS2-1P-LA,Combination Switch,LCS2-1P,Light Almond,Active,1,6.5,12.2,8.4,9.2,71.0,146.0,42.0,28,1,68.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Light Almond 全期月销 9.2；同型号最佳 Black 月销 235.8
156,LWP-1131O-AGD,"LWP-1131O-AGD, LWP-1131O-AGD5P",Wall Plate,LWP-1131O,Acrylic Gold,Active,"1, 5",8.1,12.4,3.2,9.2,97.0,149.0,13.0,28,1,20.0,Acrylic Silver,LWP-1131O-ASV,19.1,22.8,20.2,7.2,候选 Acrylic Gold 全期月销 9.2；同型号最佳 Acrylic Silver 月销 19.1
157,LCS3-1P-GD,LCS3-1P-GD,Combination Switch,LCS3-1P,Gold,Active,1,5.2,10.7,14.2,9.3,52.0,128.0,71.0,27,2,24.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Gold 全期月销 9.3；同型号最佳 Black 月销 63.1
158,LMWP-01M-HAB,LMWP-01M-HAB,Metal Wall Plate,LMWP-01M,Hammered Antique Brass,Active,1,8.8,11.9,4.8,9.4,105.0,143.0,24.0,29,0,21.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Hammered Antique Brass 全期月销 9.4；同型号最佳 Stainless Steel 月销 269.8
159,LWP-33M-GY,LWP-33M-GY,Wall Plate,LWP-33M,Gray,Active,1,7.1,12.0,8.6,9.4,85.0,144.0,43.0,29,0,34.0,White,LWP-33M-W,147.9,188.1,152.4,40.8,候选 Gray 全期月销 9.4；同型号最佳 White 月销 147.9
160,LS15-4W-GY,LS15-4W-GY,Light Switch,LS15-4W,Gray,Active,1,10.8,8.6,8.8,9.6,130.0,103.0,44.0,29,0,24.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Gray 全期月销 9.6；同型号最佳 Black 月销 200.6
161,LSMWP-31M-PRG,LSMWP-31M-PRG,Metal Wall Plate,LSMWP-31M,Polished Rose Gold,Active,1,8.5,10.8,9.4,9.6,93.0,129.0,47.0,28,1,32.0,Brushed Brass,LSMWP-31M-BB,171.2,116.7,234.3,118.0,候选 Polished Rose Gold 全期月销 9.6；同型号最佳 Brushed Brass 月销 171.2
162,LAC-FL-G-WWP,"LAC-FL-G-WWP, LAC-FL-G-WWP2P",Timer,LAC-FL-G,White,Active,"1, 2",22.5,4.2,7.0,9.8,135.0,46.0,35.0,22,7,45.0,Black,LAC-FL-G-BKWP,2.8,3.8,1.3,3.0,候选 White 全期月销 9.8；同型号最佳 Black 月销 2.8
163,LMWP-12M-HC,LMWP-12M-HC,Metal Wall Plate,LMWP-12M,Hammered Chrome,Active,1,8.1,12.9,5.8,9.8,97.0,155.0,23.0,28,1,29.0,Brushed Brass,LMWP-12M-BB,535.6,416.8,609.2,644.2,候选 Hammered Chrome 全期月销 9.8；同型号最佳 Brushed Brass 月销 535.6
164,LSWP-33M-SG,LSWP-33M-SG,Screwless Wall Plate,LSWP-33M,Space Gray,Active,1,10.1,7.9,14.0,9.9,121.0,95.0,70.0,29,0,34.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Space Gray 全期月销 9.9；同型号最佳 White 月销 1279.6
